division,NPS score 2022,NPS score 2023,Common Respondents 2022,Common Respondents 2023,change
logistics,42.857142857142854,51.93370165745856,182,181,9.07655880031571
shipping,59.83263598326359,66.25,239,240,6.417364016736407
